device,qdisc,mbs
2023-10-13T18:45:45,asus-cn60-2,cake20,863
2023-10-13T18:45:45,asus-cn60-2,cake40,861
2023-10-13T18:45:45,asus-cn60-2,fq,804
2023-10-13T18:45:45,asus-cn60-2,fq_codel,794
2023-10-13T18:45:45,asus-cn60-2,noqueue,846
2023-10-13T18:45:45,asus-cn60-2,pfifo_fast,838
2023-10-13T18:45:45,jetson-nano,cake20,399
2023-10-13T18:45:45,jetson-nano,cake40,356
2023-10-13T18:45:45,jetson-nano,fq,465
2023-10-13T18:45:45,jetson-nano,fq_codel,451
2023-10-13T18:45:45,jetson-nano,noqueue,458
2023-10-13T18:45:45,jetson-nano,pfifo_fast,530
2023-10-13T18:45:45,lpi4a,cake20,98.6
2023-10-13T18:45:45,lpi4a,cake40,148
2023-10-13T18:45:45,lpi4a,fq,136
2023-10-13T18:45:45,lpi4a,fq_codel,76.2
2023-10-13T18:45:45,lpi4a,noqueue,134
2023-10-13T18:45:45,lpi4a,pfifo_fast,128
2023-10-13T18:45:45,nanopi-neo3,cake20,300
2023-10-13T18:45:45,nanopi-neo3,cake40,255
2023-10-13T18:45:45,nanopi-neo3,fq,257
2023-10-13T18:45:45,nanopi-neo3,fq_codel,271
2023-10-13T18:45:45,nanopi-neo3,noqueue,412
2023-10-13T18:45:45,nanopi-neo3,pfifo_fast,394
2023-10-13T18:45:45,nanopi-r1,cake20,184
2023-10-13T18:45:45,nanopi-r1,cake40,187
2023-10-13T18:45:45,nanopi-r1,fq,220
2023-10-13T18:45:45,nanopi-r1,fq_codel,245
2023-10-13T18:45:45,nanopi-r1,noqueue,251
2023-10-13T18:45:45,nanopi-r1,pfifo_fast,251
2023-10-13T18:45:45,nanopi-r2s,cake20,280
2023-10-13T18:45:45,nanopi-r2s,cake40,279
2023-10-13T18:45:45,nanopi-r2s,fq,348
2023-10-13T18:45:45,nanopi-r2s,fq_codel,379
2023-10-13T18:45:45,nanopi-r2s,noqueue,387
2023-10-13T18:45:45,nanopi-r2s,pfifo_fast,
2023-10-13T18:45:45,nanopi-r5c,cake20,482
2023-10-13T18:45:45,nanopi-r5c,cake40,480
2023-10-13T18:45:45,nanopi-r5c,fq,656
2023-10-13T18:45:45,nanopi-r5c,fq_codel,716
2023-10-13T18:45:45,nanopi-r5c,noqueue,727
2023-10-13T18:45:45,nanopi-r5c,pfifo_fast,723
